x_true, y_true, vx_true, vy_true, sensor, nis
0.3600, 0.6000, -4.8003, 0.0017, R, 0.0000
0.1200, 0.6002, -4.8006, 0.0050, L, 0.0884
-0.1200, 0.6006, -4.8010, 0.0100, R, 3.5942
-0.3601, 0.6012, -4.8015, 0.0166, L, 0.5659
-0.6002, 0.6023, -4.8022, 0.0249, R, 2.7743
-0.8403, 0.6038, -4.8030, 0.0348, L, 0.5947
-1.0804, 0.6058, -4.8038, 0.0464, R, 0.1923
-1.3206, 0.6085, -4.8047, 0.0597, L, 0.6924
-1.5608, 0.6118, -4.8057, 0.0747, R, 1.5308
-1.8011, 0.6160, -4.8067, 0.0912, L, 2.3509
-2.0415, 0.6210, -4.8078, 0.1095, R, 1.1600
-2.2818, 0.6270, -4.8088, 0.1294, L, 1.1137
-2.5222, 0.6340, -4.8099, 0.1509, R, 5.5733
-2.7627, 0.6421, -4.8109, 0.1742, L, 3.5859
-3.0032, 0.6514, -4.8118, 0.1990, R, 6.7660
-3.2438, 0.6620, -4.8127, 0.2255, L, 2.3253
-3.4844, 0.6740, -4.8134, 0.2537, R, 0.4571
-3.7250, 0.6874, -4.8140, 0.2835, L, 2.1846
-3.9657, 0.7024, -4.8144, 0.3150, R, 2.7125
-4.2064, 0.7190, -4.8147, 0.3481, L, 3.4956
-4.4470, 0.7372, -4.8146, 0.3828, R, 0.3595
-4.6877, 0.7573, -4.8143, 0.4192, L, 2.9098
-4.9283, 0.7792, -4.8136, 0.4572, R, 5.2983
-5.1689, 0.8030, -4.8126, 0.4968, L, 0.5780
-5.4094, 0.8289, -4.8112, 0.5380, R, 1.4015
-5.6499, 0.8568, -4.8094, 0.5808, L, 3.3594
-5.8902, 0.8870, -4.8070, 0.6252, R, 4.8871
-6.1304, 0.9194, -4.8042, 0.6712, L, 3.7339
-6.3704, 0.9541, -4.8007, 0.7187, R, 4.8722
-6.6103, 0.9913, -4.7966, 0.7679, L, 1.9189
-6.8499, 1.0309, -4.7919, 0.8185, R, 0.9792
-7.0893, 1.0731, -4.7864, 0.8707, L, 0.6607
-7.3284, 1.1180, -4.7801, 0.9244, R, 2.4686
-7.5671, 1.1656, -4.7730, 0.9796, L, 0.0852
-7.8054, 1.2159, -4.7651, 1.0362, R, 3.8324
-8.0434, 1.2692, -4.7561, 1.0943, L, 0.2126
-8.2809, 1.3254, -4.7463, 1.1538, R, 3.9179
-8.5178, 1.3845, -4.7353, 1.2148, L, 0.4457
-8.7542, 1.4468, -4.7232, 1.2770, R, 4.5720
-8.9899, 1.5122, -4.7100, 1.3407, L, 0.2944
-9.2249, 1.5809, -4.6956, 1.4056, R, 5.5343
-9.4592, 1.6528, -4.6799, 1.4718, L, 0.9330
-9.6927, 1.7280, -4.6628, 1.5393, R, 2.9566
-9.9253, 1.8067, -4.6444, 1.6079, L, 5.4022
-10.1569, 1.8887, -4.6245, 1.6778, R, 5.5208
-10.3875, 1.9744, -4.6031, 1.7487, L, 1.6668
-10.6169, 2.0636, -4.5801, 1.8207, R, 1.9150
-10.8452, 2.1564, -4.5555, 1.8937, L, 0.4911
-11.0722, 2.2529, -4.5292, 1.9678, R, 1.2266
-11.2979, 2.3531, -4.5012, 2.0427, L, 2.8244
-11.5221, 2.4571, -4.4714, 2.1185, R, 0.4400
-11.7448, 2.5649, -4.4397, 2.1951, L, 0.3602
-11.9658, 2.6765, -4.4061, 2.2725, R, 2.1072
-12.1851, 2.7920, -4.3706, 2.3505, L, 0.2346
-12.4026, 2.9114, -4.3330, 2.4292, R, 1.4689
-12.6182, 3.0348, -4.2934, 2.5084, L, 0.4616
-12.8317, 3.1622, -4.2516, 2.5881, R, 0.1608
-13.0431, 3.2935, -4.2078, 2.6682, L, 0.5814
-13.2522, 3.4289, -4.1617, 2.7487, R, 4.6950
-13.4590, 3.5683, -4.1133, 2.8293, L, 1.2627
-13.6633, 3.7117, -4.0627, 2.9102, R, 3.4418
-13.8650, 3.8591, -4.0097, 2.9912, L, 1.1510
-14.0640, 4.0107, -3.9544, 3.0721, R, 1.7995
-14.2602, 4.1662, -3.8967, 3.1530, L, 0.1461
-14.4535, 4.3258, -3.8365, 3.2337, R, 5.2630
-14.6436, 4.4894, -3.7739, 3.3142, L, 0.1277
-14.8306, 4.6571, -3.7088, 3.3942, R, 0.1148
-15.0143, 4.8287, -3.6412, 3.4739, L, 2.2162
-15.1945, 5.0043, -3.5711, 3.5529, R, 0.8347
-15.3712, 5.1838, -3.4984, 3.6314, L, 0.3735
-15.5441, 5.3672, -3.4232, 3.7090, R, 1.6689
-15.7133, 5.5545, -3.3455, 3.7858, L, 2.6540
-15.8785, 5.7456, -3.2651, 3.8616, R, 2.3286
-16.0396, 5.9405, -3.1822, 3.9364, L, 1.1971
-16.1965, 6.1391, -3.0968, 4.0100, R, 0.7668
-16.3491, 6.3413, -3.0088, 4.0823, L, 0.5446
-16.4972, 6.5471, -2.9183, 4.1532, R, 5.7881
-16.6407, 6.7564, -2.8252, 4.2226, L, 0.5771
-16.7795, 6.9691, -2.7297, 4.2904, R, 1.1304
-16.9135, 7.1852, -2.6317, 4.3565, L, 7.1206
-17.0425, 7.4046, -2.5312, 4.4208, R, 1.6376
-17.1665, 7.6271, -2.4284, 4.4831, L, 0.7322
-17.2852, 7.8526, -2.3232, 4.5434, R, 2.2652
-17.3986, 8.0812, -2.2157, 4.6015, L, 2.3742
-17.5066, 8.3126, -2.1059, 4.6574, R, 2.3874
-17.6091, 8.5467, -1.9939, 4.7109, L, 1.4089
-17.7059, 8.7834, -1.8797, 4.7620, R, 3.5415
-17.7970, 9.0227, -1.7635, 4.8105, L, 0.9266
-17.8822, 9.2643, -1.6452, 4.8564, R, 2.2031
-17.9614, 9.5081, -1.5250, 4.8995, L, 2.2108
-18.0346, 9.7540, -1.4030, 4.9397, R, 1.5745
-18.1016, 10.0018, -1.2791, 4.9770, L, 1.2356
-18.1624, 10.2515, -1.1536, 5.0113, R, 7.8370
-18.2169, 10.5027, -1.0264, 5.0424, L, 1.2883
-18.2650, 10.7555, -0.8978, 5.0703, R, 3.1326
-18.3066, 11.0095, -0.7677, 5.0950, L, 2.1161
-18.3417, 11.2647, -0.6363, 5.1163, R, 1.4113
-18.3702, 11.5209, -0.5038, 5.1341, L, 5.5198
-18.3920, 11.7780, -0.3701, 5.1485, R, 0.4871
-18.4072, 12.0356, -0.2355, 5.1593, L, 0.1477
-18.4156, 12.2937, -0.1000, 5.1665, R, 1.2150
-18.4171, 12.5520, 0.0363, 5.1701, L, 0.5855
-18.4119, 12.8105, 0.1731, 5.1699, R, 2.0150
-18.3998, 13.0688, 0.3104, 5.1659, L, 0.4560
-18.3809, 13.3269, 0.4481, 5.1582, R, 4.0392
-18.3550, 13.5845, 0.5860, 5.1466, L, 0.9717
-18.3223, 13.8414, 0.7240, 5.1312, R, 3.3203
-18.2826, 14.0974, 0.8620, 5.1119, L, 0.0575
-18.2361, 14.3524, 0.9997, 5.0887, R, 1.7621
-18.1827, 14.6061, 1.1372, 5.0616, L, 1.0625
-18.1224, 14.8584, 1.2742, 5.0306, R, 2.2270
-18.0553, 15.1091, 1.4107, 4.9956, L, 0.1561
-17.9814, 15.3578, 1.5464, 4.9568, R, 3.4535
-17.9007, 15.6046, 1.6812, 4.9141, L, 0.1702
-17.8133, 15.8491, 1.8151, 4.8675, R, 3.3957
-17.7192, 16.0912, 1.9478, 4.8171, L, 0.3779
-17.6185, 16.3307, 2.0792, 4.7629, R, 4.7911
-17.5113, 16.5674, 2.2092, 4.7049, L, 4.0987
-17.3977, 16.8011, 2.3377, 4.6431, R, 7.6779
-17.2776, 17.0316, 2.4645, 4.5777, L, 0.1114
-17.1512, 17.2588, 2.5895, 4.5087, R, 2.1228
-17.0187, 17.4824, 2.7126, 4.4361, L, 1.7245
-16.8800, 17.7023, 2.8336, 4.3601, R, 1.5456
-16.7354, 17.9184, 2.9525, 4.2805, L, 0.5678
-16.5848, 18.1303, 3.0690, 4.1977, R, 1.4052
-16.4285, 18.3381, 3.1831, 4.1116, L, 3.5718
-16.2665, 18.5415, 3.2947, 4.0223, R, 1.5250
-16.0991, 18.7403, 3.4037, 3.9299, L, 0.0538
-15.9262, 18.9344, 3.5100, 3.8345, R, 0.6548
-15.7481, 19.1237, 3.6134, 3.7363, L, 1.5736
-15.5649, 19.3080, 3.7139, 3.6352, R, 0.5835
-15.3767, 19.4872, 3.8114, 3.5315, L, 1.1636
-15.1838, 19.6612, 3.9058, 3.4252, R, 0.3155
-14.9862, 19.8297, 3.9970, 3.3164, L, 1.3509
-14.7841, 19.9928, 4.0849, 3.2053, R, 6.5927
-14.5777, 20.1503, 4.1696, 3.0921, L, 2.2567
-14.3671, 20.3020, 4.2508, 2.9767, R, 2.6653
-14.1526, 20.4480, 4.3286, 2.8593, L, 0.6174
-13.9342, 20.5880, 4.4029, 2.7401, R, 0.4963
-13.7123, 20.7220, 4.4737, 2.6193, L, 0.9492
-13.4868, 20.8499, 4.5409, 2.4968, R, 0.1392
-13.2582, 20.9717, 4.6044, 2.3729, L, 0.1513
-13.0264, 21.0872, 4.6643, 2.2477, R, 2.3104
-12.7917, 21.1965, 4.7205, 2.1213, L, 1.1111
-12.5543, 21.2994, 4.7731, 1.9939, R, 0.4638
-12.3143, 21.3959, 4.8219, 1.8656, L, 0.6596
-12.0720, 21.4860, 4.8670, 1.7364, R, 2.2265
-11.8276, 21.5696, 4.9084, 1.6067, L, 2.9755
-11.5811, 21.6467, 4.9461, 1.4764, R, 0.1209
-11.3329, 21.7173, 4.9802, 1.3458, L, 2.4196
-11.0830, 21.7813, 5.0105, 1.2149, R, 0.9792
-10.8317, 21.8388, 5.0372, 1.0839, L, 2.3227
-10.5792, 21.8898, 5.0602, 0.9529, R, 1.1481
-10.3256, 21.9341, 5.0797, 0.8221, L, 0.2195
-10.0711, 21.9720, 5.0956, 0.6914, R, 1.8882
-9.8159, 22.0033, 5.1080, 0.5612, L, 0.0521
-9.5602, 22.0282, 5.1169, 0.4315, R, 0.0653
-9.3041, 22.0465, 5.1224, 0.3023, L, 2.6741
-9.0478, 22.0584, 5.1245, 0.1739, R, 0.1209
-8.7915, 22.0639, 5.1234, 0.0463, L, 0.8601
-8.5353, 22.0631, 5.1189, -0.0803, R, 3.1996
-8.2795, 22.0559, 5.1114, -0.2059, L, 1.3835
-8.0240, 22.0425, 5.1007, -0.3304, R, 3.5622
-7.7692, 22.0229, 5.0870, -0.4537, L, 1.7881
-7.5152, 21.9971, 5.0703, -0.5757, R, 1.1082
-7.2620, 21.9653, 5.0508, -0.6962, L, 1.1902
-7.0099, 21.9275, 5.0285, -0.8153, R, 0.9517
-6.7590, 21.8838, 5.0035, -0.9328, L, 2.8840
-6.5094, 21.8342, 4.9758, -1.0487, R, 4.9769
-6.2613, 21.7789, 4.9457, -1.1629, L, 2.5494
-6.0147, 21.7179, 4.9131, -1.2754, R, 4.0181
-5.7698, 21.6513, 4.8782, -1.3860, L, 0.7357
